Candidate_ID,Role_Applied,Department,Source,Application_Date,Screening_Date,Interview_Date,Offer_Date,Hire_Date,Final_Status,Missing_Offer_Flag,Time_to_Hire,Stage_Drop
C00050,Product Manager,HR,Company Website,07-10-2023,08-10-2023,21-10-2023,26-10-2023,,Rejected,FALSE,-1,After_Offer
C00051,Sales Executive,Sales,LinkedIn,10-05-2024,12-05-2024,16-05-2024,,,Hired,FALSE,-1,
C00052,Product Manager,HR,Company Website,23-12-2023,31-12-2023,06-01-2024,,,Dropped,FALSE,-1,After_Interview
C00053,Software Engineer,Tech,Naukri,15-09-2023,17-09-2023,,,,Rejected,FALSE,-1,After_Screening
C00054,Marketing Specialist,Tech,Referral,14-08-2024,21-08-2024,03-09-2024,09-09-2024,11-09-2024,Hired,FALSE,28,
C00055,HR Manager,HR,AngelList,26-11-2023,29-11-2023,,,,Rejected,FALSE,-1,After_Screening
C00056,Sales Executive,Sales,AngelList,15-06-2025,22-06-2025,,,,Dropped,FALSE,-1,After_Screening
C00057,Software Engineer,Product,Referral,22-03-2025,01-04-2025,,,,Hired,FALSE,-1,
C00058,HR Manager,Product,LinkedIn,27-10-2023,31-10-2023,04-11-2023,,,Dropped,FALSE,-1,After_Interview
C00059,Software Engineer,Sales,Company Website,19-01-2024,,,,,Rejected,FALSE,-1,After_Application
C00060,Sales Executive,Marketing,Naukri,11-08-2024,15-08-2024,29-08-2024,05-09-2024,,Rejected,FALSE,-1,After_Offer
C00061,Product Manager,Tech,Company Website,22-12-2024,24-12-2024,28-12-2024,07-01-2025,22-01-2025,Hired,FALSE,31,
C00062,Marketing Specialist,Marketing,AngelList,06-05-2024,14-05-2024,20-05-2024,25-05-2024,,Rejected,FALSE,-1,After_Offer
C00063,Sales Executive,Sales,Referral,07-12-2023,09-12-2023,16-12-2023,,,Dropped,FALSE,-1,After_Interview
C00064,Product Manager,Marketing,AngelList,14-04-2025,18-04-2025,29-04-2025,,,Rejected,FALSE,-1,After_Interview
C00065,Sales Executive,Sales,AngelList,06-05-2025,13-05-2025,27-05-2025,28-05-2025,,Dropped,FALSE,-1,After_Offer
C00066,Data Scientist,Product,Naukri,26-02-2024,29-02-2024,10-03-2024,14-03-2024,,Rejected,FALSE,-1,After_Offer
C00067,Marketing Specialist,Product,LinkedIn,03-10-2024,08-10-2024,20-10-2024,27-10-2024,,Dropped,FALSE,-1,After_Offer
C00068,Software Engineer,Marketing,LinkedIn,11-01-2024,17-01-2024,21-01-2024,30-01-2024,,Dropped,FALSE,-1,After_Offer
C00069,Software Engineer,Marketing,Naukri,19-06-2025,26-06-2025,27-06-2025,03-07-2025,,Dropped,FALSE,-1,After_Offer
C00070,Marketing Specialist,Tech,Referral,06-07-2024,16-07-2024,21-07-2024,29-07-2024,,Rejected,FALSE,-1,After_Offer
C00071,Data Scientist,Product,Company Website,16-10-2023,,,,,Dropped,FALSE,-1,After_Application
C00072,Product Manager,Tech,Referral,29-08-2024,04-09-2024,09-09-2024,14-09-2024,21-09-2024,Hired,FALSE,23,
C00073,Software Engineer,Marketing,Company Website,02-07-2024,06-07-2024,19-07-2024,29-07-2024,,Rejected,FALSE,-1,After_Offer
C00074,Data Scientist,Sales,LinkedIn,31-05-2025,06-06-2025,18-06-2025,,,Dropped,FALSE,-1,After_Interview
C00075,Software Engineer,Product,AngelList,30-05-2024,04-06-2024,11-06-2024,12-06-2024,,Dropped,FALSE,-1,After_Offer
C00076,HR Manager,Sales,AngelList,15-05-2025,25-05-2025,31-05-2025,04-06-2025,,Dropped,FALSE,-1,After_Offer
C00077,Product Manager,Tech,Referral,,22-10-2024,02-11-2024,07-11-2024,,Dropped,FALSE,-1,After_Offer
C00078,HR Manager,Tech,Naukri,01-04-2024,10-04-2024,,,,Hired,FALSE,-1,
C00079,Marketing Specialist,HR,Company Website,28-09-2024,,,,,Hired,FALSE,-1,
C00080,Product Manager,Product,AngelList,11-12-2023,16-12-2023,25-12-2023,28-12-2023,08-01-2024,Hired,FALSE,28,
C00081,Data Scientist,Product,Referral,16-10-2024,20-10-2024,01-11-2024,08-11-2024,,Dropped,FALSE,-1,After_Offer
C00082,Product Manager,Tech,Naukri,10-07-2024,16-07-2024,26-07-2024,,,Dropped,FALSE,-1,After_Interview
C00083,Product Manager,Sales,LinkedIn,20-07-2024,28-07-2024,,,,Rejected,FALSE,-1,After_Screening
C00084,Data Scientist,Product,Naukri,29-04-2025,09-05-2025,11-05-2025,15-05-2025,01-06-2025,Hired,FALSE,33,
C00085,Marketing Specialist,Tech,LinkedIn,20-11-2024,27-11-2024,04-12-2024,,,Dropped,FALSE,-1,After_Interview
C00086,Product Manager,HR,Referral,01-06-2024,04-06-2024,10-06-2024,20-06-2024,,Dropped,FALSE,-1,After_Offer
C00087,Marketing Specialist,Marketing,Naukri,04-08-2023,12-08-2023,,,,Hired,FALSE,-1,
C00088,Marketing Specialist,Product,Referral,17-01-2025,20-01-2025,28-01-2025,31-01-2025,,Dropped,FALSE,-1,After_Offer
C00089,Marketing Specialist,Marketing,LinkedIn,15-11-2023,16-11-2023,,,,Dropped,FALSE,-1,After_Screening
C00090,Software Engineer,Sales,AngelList,17-05-2024,20-05-2024,23-05-2024,25-05-2024,,Dropped,FALSE,-1,After_Offer
C00091,Sales Executive,HR,AngelList,01-03-2024,08-03-2024,15-03-2024,23-03-2024,,Dropped,FALSE,-1,After_Offer
C00092,Marketing Specialist,Product,LinkedIn,28-04-2024,29-04-2024,11-05-2024,12-05-2024,,Rejected,FALSE,-1,After_Offer
C00093,Data Scientist,Marketing,Company Website,29-07-2023,07-08-2023,,,,Rejected,FALSE,-1,After_Screening
C00094,Sales Executive,Marketing,Company Website,16-01-2024,20-01-2024,04-02-2024,07-02-2024,,Rejected,FALSE,-1,After_Offer
C00095,Marketing Specialist,Tech,AngelList,04-05-2024,13-05-2024,16-05-2024,,,Hired,FALSE,-1,
C00096,Data Scientist,Marketing,AngelList,26-03-2024,,,,,Hired,FALSE,-1,
C00097,Data Scientist,Sales,Naukri,19-04-2024,27-04-2024,07-05-2024,14-05-2024,,Hired,FALSE,-1,
C00098,HR Manager,Marketing,Naukri,13-08-2024,21-08-2024,25-08-2024,,,Rejected,FALSE,-1,After_Interview
C00099,HR Manager,Sales,AngelList,21-08-2023,28-08-2023,,,,Hired,FALSE,-1,
C00100,Product Manager,Sales,Company Website,02-06-2025,05-06-2025,06-06-2025,09-06-2025,,Dropped,FALSE,-1,After_Offer
C00101,Marketing Specialist,Tech,Naukri,02-10-2024,03-10-2024,14-10-2024,,,Dropped,FALSE,-1,After_Interview
C00102,Marketing Specialist,HR,LinkedIn,28-01-2024,29-01-2024,24-01-2024,31-01-2024,,Dropped,FALSE,-1,After_Offer
C00103,Sales Executive,Sales,Naukri,29-02-2024,,,,,Dropped,FALSE,-1,After_Application
C00104,Data Scientist,Marketing,Naukri,05-12-2023,13-12-2023,22-12-2023,,,Dropped,FALSE,-1,After_Interview
C00105,Marketing Specialist,Marketing,Naukri,19-02-2025,23-02-2025,06-03-2025,,,Dropped,FALSE,-1,After_Interview
C00106,Product Manager,Sales,Referral,02-01-2025,04-01-2025,09-01-2025,12-01-2025,,Dropped,FALSE,-1,After_Offer
C00107,Software Engineer,Marketing,LinkedIn,20-01-2025,22-01-2025,01-02-2025,,,Hired,FALSE,-1,
C00108,Data Scientist,Product,AngelList,05-01-2024,07-01-2024,17-01-2024,,,Rejected,FALSE,-1,After_Interview
C00109,Software Engineer,Tech,Company Website,30-06-2024,09-07-2024,15-07-2024,20-07-2024,,Rejected,FALSE,-1,After_Offer
C00110,Product Manager,Marketing,Company Website,22-11-2023,01-12-2023,05-12-2023,13-12-2023,,Rejected,FALSE,-1,After_Offer
C00111,HR Manager,Tech,AngelList,01-03-2025,02-03-2025,,,,Rejected,FALSE,-1,After_Screening
C00112,Product Manager,Sales,Referral,20-02-2024,,,,,Dropped,FALSE,-1,After_Application
C00113,Software Engineer,Sales,Company Website,31-05-2025,10-06-2025,13-06-2025,22-06-2025,,Dropped,FALSE,-1,After_Offer
C00114,Data Scientist,Sales,Naukri,13-06-2025,,,,,Dropped,FALSE,-1,After_Application
C00115,Sales Executive,Tech,Company Website,22-09-2024,27-09-2024,05-10-2024,10-10-2024,,Dropped,FALSE,-1,After_Offer
C00116,Marketing Specialist,Marketing,LinkedIn,20-03-2024,21-03-2024,,,,Hired,FALSE,-1,
C00117,Product Manager,Product,LinkedIn,24-08-2024,25-08-2024,31-08-2024,06-09-2024,,Rejected,FALSE,-1,After_Offer
C00118,Data Scientist,Tech,AngelList,23-07-2023,25-07-2023,,,,Hired,FALSE,-1,
C00119,Marketing Specialist,Product,Referral,23-09-2024,24-09-2024,,,,Rejected,FALSE,-1,After_Screening
C00120,HR Manager,Marketing,Referral,02-11-2024,05-11-2024,20-11-2024,30-11-2024,09-12-2024,Hired,FALSE,37,
C00121,HR Manager,Marketing,Company Website,06-08-2024,08-08-2024,14-08-2024,,,Rejected,FALSE,-1,After_Interview
C00122,Marketing Specialist,Tech,Referral,26-10-2024,03-11-2024,10-11-2024,18-11-2024,,Rejected,FALSE,-1,After_Offer
C00123,HR Manager,HR,Referral,02-11-2024,05-11-2024,,,,Hired,FALSE,-1,
C00124,Data Scientist,Product,Company Website,22-06-2024,23-06-2024,07-07-2024,,,Hired,FALSE,-1,
C00125,Product Manager,Sales,LinkedIn,26-05-2025,05-06-2025,15-06-2025,18-06-2025,,Dropped,FALSE,-1,After_Offer
C00126,Data Scientist,Product,Naukri,12-09-2023,18-09-2023,02-10-2023,05-10-2023,21-10-2023,Hired,FALSE,39,
C00127,Data Scientist,Marketing,AngelList,16-03-2024,18-03-2024,26-03-2024,,,Rejected,FALSE,-1,After_Interview
C00128,Marketing Specialist,Marketing,LinkedIn,08-06-2025,14-06-2025,,,,Rejected,FALSE,-1,After_Screening
C00129,Sales Executive,Tech,Referral,09-04-2025,18-04-2025,28-04-2025,02-05-2025,,Rejected,FALSE,-1,After_Offer
C00130,Sales Executive,HR,Referral,28-05-2024,03-06-2024,15-06-2024,17-06-2024,,Rejected,FALSE,-1,After_Offer
C00131,Product Manager,Sales,Company Website,30-12-2024,03-01-2025,14-01-2025,21-01-2025,26-01-2025,Hired,FALSE,27,
C00132,Marketing Specialist,Product,AngelList,23-07-2023,01-08-2023,11-08-2023,,,Dropped,FALSE,-1,After_Interview
C00133,Sales Executive,HR,Naukri,21-07-2023,24-07-2023,01-08-2023,04-08-2023,,Rejected,FALSE,-1,After_Offer
C00134,HR Manager,Sales,Company Website,10-11-2024,,,,,Rejected,FALSE,-1,After_Application
C00135,Sales Executive,Marketing,Company Website,18-01-2024,22-01-2024,27-01-2024,,,Rejected,FALSE,-1,After_Interview
C00136,HR Manager,Marketing,Naukri,21-01-2024,28-01-2024,01-02-2024,,,Hired,FALSE,-1,
C00137,Product Manager,Tech,Naukri,09-06-2024,19-06-2024,03-07-2024,09-07-2024,,Rejected,FALSE,-1,After_Offer
C00138,Data Scientist,Tech,Referral,13-04-2025,21-04-2025,22-04-2025,,,Dropped,FALSE,-1,After_Interview
C00139,Data Scientist,Product,Company Website,25-07-2023,03-08-2023,17-08-2023,,,Dropped,FALSE,-1,After_Interview
C00140,Sales Executive,HR,LinkedIn,11-03-2025,21-03-2025,02-04-2025,09-04-2025,,Rejected,FALSE,-1,After_Offer
C00141,HR Manager,HR,LinkedIn,16-04-2025,24-04-2025,30-04-2025,04-05-2025,,Rejected,FALSE,-1,After_Offer
C00142,Software Engineer,Sales,Company Website,04-01-2025,10-01-2025,20-01-2025,26-01-2025,10-02-2025,Hired,FALSE,37,
C00143,Software Engineer,Product,Naukri,21-03-2025,25-03-2025,,,,Rejected,FALSE,-1,After_Screening
C00144,Software Engineer,Tech,AngelList,05-10-2024,10-10-2024,16-10-2024,17-10-2024,23-10-2024,Hired,FALSE,18,
C00145,Data Scientist,Product,Naukri,24-12-2024,31-12-2024,,,,Dropped,FALSE,-1,After_Screening
C00146,Marketing Specialist,Marketing,Naukri,19-09-2023,23-09-2023,,,,Hired,FALSE,-1,
C00147,Data Scientist,Tech,AngelList,23-04-2024,27-04-2024,10-05-2024,,,Hired,FALSE,-1,
C00148,Marketing Specialist,HR,Naukri,18-07-2023,25-07-2023,,,,Rejected,FALSE,-1,After_Screening
C00149,HR Manager,Tech,AngelList,25-05-2025,04-06-2025,,,,Dropped,FALSE,-1,After_Screening
C00150,Sales Executive,Marketing,Company Website,12-06-2025,20-06-2025,29-06-2025,,,Hired,FALSE,-1,
C00151,Software Engineer,Tech,AngelList,14-10-2024,23-10-2024,01-11-2024,11-11-2024,,Dropped,FALSE,-1,After_Offer
C00152,HR Manager,HR,LinkedIn,09-05-2025,18-05-2025,02-06-2025,,,Hired,FALSE,-1,
C00153,HR Manager,Marketing,AngelList,22-04-2025,25-04-2025,,,,Dropped,FALSE,-1,After_Screening
C00154,Sales Executive,Sales,Naukri,03-12-2024,13-12-2024,22-12-2024,29-12-2024,18-01-2025,Hired,FALSE,46,
C00155,HR Manager,Product,Company Website,29-12-2024,02-01-2025,08-01-2025,16-01-2025,,Dropped,FALSE,-1,After_Offer
C00156,Sales Executive,Sales,AngelList,13-10-2023,16-10-2023,28-10-2023,06-11-2023,16-11-2023,Hired,FALSE,34,
C00157,Product Manager,Marketing,Naukri,03-03-2024,12-03-2024,24-03-2024,02-04-2024,,Dropped,FALSE,-1,After_Offer
C00158,Sales Executive,Marketing,AngelList,29-06-2025,03-07-2025,15-07-2025,,,Hired,FALSE,-1,
C00159,Software Engineer,Marketing,Company Website,15-07-2023,18-07-2023,29-07-2023,01-08-2023,,Rejected,FALSE,-1,After_Offer
C00160,Marketing Specialist,HR,Company Website,16-03-2025,22-03-2025,04-04-2025,12-04-2025,,Dropped,FALSE,-1,After_Offer
C00161,Marketing Specialist,Marketing,LinkedIn,11-11-2024,18-11-2024,03-12-2024,08-12-2024,,Rejected,FALSE,-1,After_Offer
C00162,Software Engineer,Product,Company Website,20-05-2025,27-05-2025,05-06-2025,,,Rejected,FALSE,-1,After_Interview
C00163,Marketing Specialist,HR,Naukri,26-10-2024,27-10-2024,31-10-2024,,,Hired,FALSE,-1,
C00164,Sales Executive,Marketing,Company Website,01-12-2023,06-12-2023,09-12-2023,14-12-2023,,Rejected,FALSE,-1,After_Offer
C00165,Product Manager,HR,Company Website,03-07-2025,12-07-2025,,,,Dropped,FALSE,-1,After_Screening
C00166,Marketing Specialist,Product,Naukri,18-04-2024,20-04-2024,01-05-2024,05-05-2024,23-05-2024,Hired,FALSE,35,
C00167,Product Manager,Product,Naukri,29-10-2024,07-11-2024,20-11-2024,21-11-2024,04-12-2024,Hired,FALSE,36,
C00168,Software Engineer,HR,Company Website,14-04-2024,20-04-2024,21-04-2024,,,Dropped,FALSE,-1,After_Interview
C00169,Product Manager,Tech,Company Website,07-07-2024,17-07-2024,31-07-2024,04-08-2024,,Dropped,FALSE,-1,After_Offer
C00170,HR Manager,Sales,AngelList,08-11-2024,14-11-2024,23-11-2024,27-11-2024,,Rejected,FALSE,-1,After_Offer
C00171,Data Scientist,Marketing,Company Website,10-05-2024,14-05-2024,17-05-2024,19-05-2024,,Rejected,FALSE,-1,After_Offer
C00172,HR Manager,Sales,LinkedIn,21-05-2025,24-05-2025,26-05-2025,02-06-2025,11-06-2025,Hired,FALSE,21,
C00173,Software Engineer,Product,LinkedIn,21-09-2023,24-09-2023,,,,Dropped,FALSE,-1,After_Screening
C00174,Marketing Specialist,Sales,LinkedIn,27-09-2023,28-09-2023,10-10-2023,11-10-2023,,Dropped,FALSE,-1,After_Offer
C00175,Marketing Specialist,Tech,LinkedIn,08-08-2024,14-08-2024,27-08-2024,06-09-2024,,Hired,FALSE,-1,
C00176,Product Manager,Sales,Company Website,28-03-2025,07-04-2025,09-04-2025,15-04-2025,,Rejected,FALSE,-1,After_Offer
C00177,Sales Executive,Sales,AngelList,23-09-2023,26-09-2023,09-10-2023,16-10-2023,,Dropped,FALSE,-1,After_Offer
C00178,Data Scientist,Product,Naukri,04-07-2025,11-07-2025,,,,Rejected,FALSE,-1,After_Screening
C00179,Sales Executive,Product,Company Website,09-07-2024,13-07-2024,19-07-2024,23-07-2024,,Rejected,FALSE,-1,After_Offer
C00180,Software Engineer,Marketing,Referral,29-02-2024,10-03-2024,19-03-2024,20-03-2024,24-03-2024,Hired,FALSE,24,
C00181,Marketing Specialist,HR,Company Website,29-02-2024,08-03-2024,19-03-2024,29-03-2024,,Dropped,FALSE,-1,After_Offer
C00182,Product Manager,Marketing,LinkedIn,04-12-2024,05-12-2024,11-12-2024,13-12-2024,26-12-2024,Hired,FALSE,22,
C00183,Marketing Specialist,Product,Referral,13-02-2024,18-02-2024,,,,Hired,FALSE,-1,
C00184,Sales Executive,Marketing,Company Website,08-10-2023,14-10-2023,23-10-2023,24-10-2023,,Rejected,FALSE,-1,After_Offer
C00185,Sales Executive,Sales,AngelList,14-04-2025,18-04-2025,20-04-2025,23-04-2025,,Dropped,FALSE,-1,After_Offer
C00186,Data Scientist,Sales,AngelList,12-04-2025,21-04-2025,02-05-2025,,,Hired,FALSE,-1,
C00187,Data Scientist,Product,Referral,16-10-2024,20-10-2024,27-10-2024,31-10-2024,,Dropped,FALSE,-1,After_Offer
C00188,Product Manager,Product,Naukri,02-08-2024,09-08-2024,11-08-2024,14-08-2024,15-08-2024,Hired,FALSE,13,
C00189,Data Scientist,Marketing,Referral,26-08-2023,01-09-2023,,,,Dropped,FALSE,-1,After_Screening
C00190,Sales Executive,Marketing,AngelList,04-05-2024,,,,,Hired,FALSE,-1,
C00191,Sales Executive,Sales,Referral,28-05-2024,02-06-2024,12-06-2024,17-06-2024,,Rejected,FALSE,-1,After_Offer
C00192,Software Engineer,HR,LinkedIn,10-06-2025,18-06-2025,25-06-2025,02-07-2025,,Rejected,FALSE,-1,After_Offer
C00193,Sales Executive,HR,LinkedIn,06-12-2024,15-12-2024,,,,Hired,FALSE,-1,
C00194,Product Manager,Product,Naukri,05-08-2024,07-08-2024,17-08-2024,,,Rejected,FALSE,-1,After_Interview
C00195,HR Manager,Marketing,Referral,29-03-2024,04-04-2024,06-04-2024,,,Hired,FALSE,-1,
C00196,Software Engineer,HR,Referral,27-01-2024,06-02-2024,,,,Rejected,FALSE,-1,After_Screening
C00197,Software Engineer,Marketing,Referral,13-03-2024,21-03-2024,04-04-2024,12-04-2024,,Dropped,FALSE,-1,After_Offer
C00198,Product Manager,Tech,Referral,08-05-2025,12-05-2025,,,,Rejected,FALSE,-1,After_Screening
C00199,Product Manager,Sales,Naukri,,09-06-2024,20-06-2024,,,Dropped,FALSE,-1,After_Interview
C00200,Data Scientist,Marketing,AngelList,16-12-2023,22-12-2023,23-12-2023,01-01-2024,,Dropped,FALSE,-1,After_Offer
C00201,Software Engineer,Marketing,Company Website,11-05-2025,12-05-2025,,,,Rejected,FALSE,-1,After_Screening
C00202,Data Scientist,Marketing,Naukri,05-02-2024,14-02-2024,16-02-2024,22-02-2024,,Dropped,FALSE,-1,After_Offer
C00203,Sales Executive,HR,AngelList,09-01-2024,18-01-2024,,,,Rejected,FALSE,-1,After_Screening
C00204,Software Engineer,Marketing,AngelList,28-10-2024,07-11-2024,11-11-2024,,,Dropped,FALSE,-1,After_Interview
C00205,Software Engineer,Tech,AngelList,18-07-2023,28-07-2023,11-08-2023,20-08-2023,,Rejected,FALSE,-1,After_Offer
C00206,Marketing Specialist,HR,Referral,13-09-2024,22-09-2024,,,,Dropped,FALSE,-1,After_Screening
C00207,HR Manager,Product,Naukri,24-02-2024,29-02-2024,,,,Hired,FALSE,-1,
C00208,Software Engineer,Product,AngelList,18-07-2023,26-07-2023,01-08-2023,,,Rejected,FALSE,-1,After_Interview
C00209,Sales Executive,Sales,Company Website,26-10-2024,28-10-2024,30-10-2024,05-11-2024,,Rejected,FALSE,-1,After_Offer
C00210,Data Scientist,Tech,Company Website,25-09-2024,01-10-2024,06-10-2024,09-10-2024,,Rejected,FALSE,-1,After_Offer
C00211,Data Scientist,Marketing,LinkedIn,22-08-2024,28-08-2024,04-09-2024,,,Dropped,FALSE,-1,After_Interview
C00212,Marketing Specialist,Tech,AngelList,01-09-2024,05-09-2024,16-09-2024,22-09-2024,27-09-2024,Hired,FALSE,26,
C00213,HR Manager,Product,Naukri,30-05-2025,05-06-2025,13-06-2025,18-06-2025,,Dropped,FALSE,-1,After_Offer
C00214,Sales Executive,Marketing,Referral,09-10-2024,11-10-2024,,,,Dropped,FALSE,-1,After_Screening
C00215,Data Scientist,Tech,LinkedIn,09-09-2024,14-09-2024,17-09-2024,21-09-2024,,Rejected,FALSE,-1,After_Offer
C00216,Product Manager,HR,AngelList,01-10-2024,03-10-2024,18-10-2024,,,Dropped,FALSE,-1,After_Interview
C00217,Sales Executive,Marketing,Referral,27-06-2025,28-06-2025,08-07-2025,18-07-2025,,Dropped,FALSE,-1,After_Offer
C00218,Sales Executive,HR,Naukri,05-08-2024,06-08-2024,15-08-2024,24-08-2024,09-09-2024,Hired,FALSE,35,
C00219,HR Manager,Tech,Naukri,16-11-2023,19-11-2023,23-11-2023,03-12-2023,,Dropped,FALSE,-1,After_Offer
C00220,Data Scientist,Marketing,LinkedIn,15-12-2023,20-12-2023,,,,Hired,FALSE,-1,
C00221,Sales Executive,Sales,LinkedIn,18-05-2025,20-05-2025,29-05-2025,,,Rejected,FALSE,-1,After_Interview
C00222,Marketing Specialist,Sales,AngelList,06-03-2025,16-03-2025,29-03-2025,06-04-2025,12-04-2025,Hired,FALSE,37,
